Trent Hill
Mehreteab Aregay
Grant Mackey
Wen-Ran Zhang
Walid-Khaled Hidouci
Hongxiang Wang
Rajiv Ranjan
Meirong Xu
Florian Mueller 0001
Martin Brokate
Ichirou Ida
Francesco Parisi
Markus Brameier
Zhiwei Zhang
Hywel Stoakes
Luis Aldaz
Chris Hutchison
Viljam Puusep
Chinmoy Kundu
Corrado Mencar
Andrea Lsch
Denise Klein
Andrius Krisciunas
Dail Fields
Guillaume Charpiat
Mary Switzer
Aire Olesk
Stephen Ekwaro-Osire
Melek Diker Ycel
Yun Yang
Duck-Jin Chung
Ingrid Gielen
Tran-Vu Khanh
Hui Cheng
Luoyi Fu
Diomidis Spinellis
Francesco Ficarola
Paolo Prinetto
Karpjoo Jeong
Denis Lebel
David Snchez 0002
Suki Kim
Sagnika Sen
Xiangchu Feng
Yann Bugeaud
Jrgen Stauder
Damien Imbs
Zhongding Lei
William Hsu
Bill Howe
Atanas Radenski
Hoang Le
Randy Klaassen
Qiang An
Xiangwei Kong
Nitin Saurabh
Charles Mller
Jing Lu
Benjamin Lvque
David Wetherall
Zhao-Liang Li
Keith Phalp
Melissa Terras
Qingtang Jiang
Georg Macher
Jean Merckl
Eiji Nunohiro
Jianchao Du
Shigehiro Morikawa
Cong-Phuong Nguyen
Min Li
Dunbing Tang
Jean Serra
Donggang Jung
IBM Blue Gene team
Lo Franoso Dal Piccol Sotto
Mohammad Arif
Alexey Kashevnik
Akashi Yamaguchi
Tao Zhang
Irfan Ahmed
Zhi-Hong Chen
Nancy Perrot
Ana-Suncana Smith
Delaram Kahrobaei
Mingcong Deng
Robert Lin
Hidemoto Nakada
Miranda Mowbray
Lung-Hao Chang
Ron Steinfeld
Shirong Liu
Haixia Zhang
Afef Mdhaffar
Lai-Jiu Lin
Rubn Nogales-Cadenas
Klen Copic Pucihar
Shouyi Yin
Daniel Conrad
Kazuyuki Ito
